0.15-0,"{'C': 3.0560127591706543, 'gamma': 0.040311004784689006}"
0.15-1,"{'C': 1.8955023923444978, 'gamma': 0.02012918660287081}"
0.15-2,"{'C': 0.178989898989899, 'gamma': 0.22659330143540668}"
0.15-3,"{'C': 4.052227538543328, 'gamma': 0.2824928229665072}"
0.15-4,"{'C': 0.37696969696969695, 'gamma': 0.08909569377990431}"
0.16-0,"{'C': 2.86855927698033, 'gamma': 0.04662679425837321}"
0.16-1,"{'C': 1.7133333333333336, 'gamma': 0.022234449760765548}"
0.16-2,"{'C': 0.19793726741095163, 'gamma': 0.4775598086124402}"
0.16-3,"{'C': 4.353407761828815, 'gamma': 0.2925837320574163}"
0.16-4,"{'C': 4.423955342902711, 'gamma': 0.08067464114832537}"
0.17-0,"{'C': 2.093482190324296, 'gamma': 0.042851674641148335}"
0.17-1,"{'C': 1.2025730994152048, 'gamma': 0.030220095693779907}"
0.17-2,"{'C': 0.15054758107389687, 'gamma': 0.33251196172248804}"
0.17-3,"{'C': 3.891111111111112, 'gamma': 0.2883732057416268}"
0.17-4,"{'C': 4.287070707070708, 'gamma': 0.08699043062200958}"
0.18000000000000002-0,"{'C': 1.1467623604465713, 'gamma': 0.058387559808612446}"
0.18000000000000002-1,"{'C': 0.2842955874534822, 'gamma': 0.15385167464114832}"
0.18000000000000002-2,"{'C': 0.1463370547581074, 'gamma': 0.29047846889952156}"
0.18000000000000002-3,"{'C': 0.673939393939394, 'gamma': 0.032325358851674646}"
0.18000000000000002-4,"{'C': 4.7820202020202025, 'gamma': 0.06847846889952153}"
0.19000000000000003-0,"{'C': 0.8266347687400319, 'gamma': 0.11515789473684211}"
0.19000000000000003-1,"{'C': 0.8497926634768741, 'gamma': 0.038205741626794264}"
0.19000000000000003-2,"{'C': 0.12949494949494952, 'gamma': 0.40314832535885164}"
0.19000000000000003-3,"{'C': 2.802222222222223, 'gamma': 0.42376555023923446}"
0.19000000000000003-4,"{'C': 0.21056884635832004, 'gamma': 0.16684688995215313}"
0.20000000000000004-0,"{'C': 3.8932163742690067, 'gamma': 0.015483253588516745}"
0.20000000000000004-1,"{'C': 0.26006379585326955, 'gamma': 0.16938755980861245}"
0.20000000000000004-2,"{'C': 0.133705475810739, 'gamma': 0.4855454545454545}"
0.20000000000000004-3,"{'C': 3.13498139287613, 'gamma': 0.34390909090909094}"
0.20000000000000004-4,"{'C': 2.2188091440723023, 'gamma': 0.12103827751196172}"
0.21000000000000005-0,"{'C': 1.9113131313131315, 'gamma': 0.030220095693779907}"
0.21000000000000005-1,"{'C': 0.8350558213716109, 'gamma': 0.03610047846889953}"
0.21000000000000005-2,"{'C': 0.15054758107389687, 'gamma': 0.21396172248803827}"
0.21000000000000005-3,"{'C': 4.51873471557682, 'gamma': 0.02012918660287081}"
0.21000000000000005-4,"{'C': 1.3194790005316324, 'gamma': 0.21650239234449764}"
0.22000000000000006-0,"{'C': 1.7733545986177568, 'gamma': 0.032325358851674646}"
0.22000000000000006-1,"{'C': 4.98, 'gamma': 0.005392344497607656}"
0.22000000000000006-2,"{'C': 0.1694949494949495, 'gamma': 0.42333014354066983}"
0.22000000000000006-3,"{'C': 2.7032323232323234, 'gamma': 0.7243875598086125}"
0.22000000000000006-4,"{'C': 1.267878787878788, 'gamma': 0.2358133971291866}"
0.23000000000000007-0,"{'C': 1.9113131313131315, 'gamma': 0.06049282296650718}"
0.23000000000000007-1,"{'C': 0.19583200425305688, 'gamma': 0.2635454545454545}"
0.23000000000000007-2,"{'C': 0.23059011164274326, 'gamma': 0.2631818181818182}"
0.23000000000000007-3,"{'C': 0.1, 'gamma': 0.5460909090909091}"
0.23000000000000007-4,"{'C': 2.6126634768740034, 'gamma': 0.09621052631578947}"
0.24000000000000007-0,"{'C': 0.29692716640085065, 'gamma': 0.595311004784689}"
0.24000000000000007-1,"{'C': 4.138585858585859, 'gamma': 0.026009569377990434}"
0.24000000000000007-2,"{'C': 0.20004253056884636, 'gamma': 0.7243875598086125}"
0.24000000000000007-3,"{'C': 4.8810101010101015, 'gamma': 0.34681339712918663}"
0.24000000000000007-4,"{'C': 1.4658585858585862, 'gamma': 0.18579425837320576}"
0.25000000000000006-0,"{'C': 1.2541733120680492, 'gamma': 0.06049282296650718}"
0.25000000000000006-1,"{'C': 4.98, 'gamma': 0.007497607655502392}"
0.25000000000000006-2,"{'C': 0.12949494949494952, 'gamma': 0.6941148325358851}"
0.25000000000000006-3,"{'C': 0.1, 'gamma': 0.7105215311004786}"
0.25000000000000006-4,"{'C': 1.6143434343434346, 'gamma': 0.1714928229665072}"
0.26000000000000006-0,"{'C': 4.633535353535354, 'gamma': 0.05250717703349283}"
0.26000000000000006-1,"{'C': 3.9721850079744825, 'gamma': 0.032325358851674646}"
0.26000000000000006-2,"{'C': 0.13581073896863374, 'gamma': 0.728598086124402}"
0.26000000000000006-3,"{'C': 2.3693992557150456, 'gamma': 0.39559808612440195}"
0.26000000000000006-4,"{'C': 4.002732589048379, 'gamma': 0.050401913875598094}"
0.2700000000000001-0,"{'C': 0.34221158958001063, 'gamma': 0.2618755980861244}"
0.2700000000000001-1,"{'C': 0.15475810738968634, 'gamma': 0.2635454545454545}"
0.2700000000000001-2,"{'C': 0.20635832004253057, 'gamma': 0.7075454545454546}"
0.2700000000000001-3,"{'C': 4.8810101010101015, 'gamma': 0.31066028708133975}"
0.2700000000000001-4,"{'C': 3.9406060606060613, 'gamma': 0.050401913875598094}"
0.2800000000000001-0,"{'C': 0.2516427432216906, 'gamma': 0.28626794258373206}"
0.2800000000000001-1,"{'C': 3.6931313131313135, 'gamma': 0.032325358851674646}"
0.2800000000000001-2,"{'C': 0.1, 'gamma': 0.5969808612440192}"
0.2800000000000001-3,"{'C': 4.7820202020202025, 'gamma': 0.2681913875598086}"
0.2800000000000001-4,"{'C': 1.5321956406166937, 'gamma': 0.1580622009569378}"
0.2900000000000001-0,"{'C': 0.574949494949495, 'gamma': 0.2202775119617225}"
0.2900000000000001-1,"{'C': 4.386060606060607, 'gamma': 0.022234449760765548}"
0.2900000000000001-2,"{'C': 0.1463370547581074, 'gamma': 0.7680909090909092}"
0.2900000000000001-3,"{'C': 4.98, 'gamma': 0.2559952153110048}"
0.2900000000000001-4,"{'C': 1.9260499734183947, 'gamma': 0.1588612440191388}"
0.3000000000000001-0,"{'C': 0.7444869750132909, 'gamma': 0.09287081339712919}"
0.3000000000000001-1,"{'C': 3.2792557150451893, 'gamma': 0.030220095693779907}"
0.3000000000000001-2,"{'C': 0.1105263157894737, 'gamma': 0.758}"
0.3000000000000001-3,"{'C': 4.8810101010101015, 'gamma': 0.24002392344497608}"
0.3000000000000001-4,"{'C': 0.772929292929293, 'gamma': 0.41411004784689}"
0.3100000000000001-0,"{'C': 0.5981073896863371, 'gamma': 0.11261722488038278}"
0.3100000000000001-1,"{'C': 3.148686868686869, 'gamma': 0.022234449760765548}"
0.3100000000000001-2,"{'C': 0.1400212652844232, 'gamma': 0.822755980861244}"
0.3100000000000001-3,"{'C': 4.2049229133439665, 'gamma': 0.2824928229665072}"
0.3100000000000001-4,"{'C': 2.257777777777778, 'gamma': 0.15341626794258373}"
0.3200000000000001-0,"{'C': 0.40433811802232855, 'gamma': 0.30434449760765553}"
0.3200000000000001-1,"{'C': 3.2971717171717176, 'gamma': 0.015483253588516745}"
0.3200000000000001-2,"{'C': 0.14844231791600215, 'gamma': 0.9644641148325359}"
0.3200000000000001-3,"{'C': 4.930505050505051, 'gamma': 0.26398086124401915}"
0.3200000000000001-4,"{'C': 3.3961616161616166, 'gamma': 0.09076555023923447}"
0.3300000000000001-0,"{'C': 1.4805954279638494, 'gamma': 0.04241626794258374}"
0.3300000000000001-1,"{'C': 3.8416161616161624, 'gamma': 0.005751196172248804}"
0.3300000000000001-2,"{'C': 0.19372674109516216, 'gamma': 0.7680909090909092}"
0.3300000000000001-3,"{'C': 4.633535353535354, 'gamma': 0.023904306220095695}"
0.3300000000000001-4,"{'C': 4.254417862838916, 'gamma': 0.06049282296650718}"
0.34000000000000014-0,"{'C': 0.772929292929293, 'gamma': 0.09454066985645934}"
0.34000000000000014-1,"{'C': 4.757788410419989, 'gamma': 0.010502392344497607}"
0.34000000000000014-2,"{'C': 0.2084635832004253, 'gamma': 0.7550956937799044}"
0.34000000000000014-3,"{'C': 4.190186071238704, 'gamma': 0.31066028708133975}"
0.34000000000000014-4,"{'C': 4.03959595959596, 'gamma': 0.08277990430622009}"
0.35000000000000014-0,"{'C': 1.8123232323232326, 'gamma': 0.040311004784689006}"
0.35000000000000014-1,"{'C': 1.96922913343966, 'gamma': 0.010502392344497607}"
0.35000000000000014-2,"{'C': 0.14423179160021268, 'gamma': 0.9518325358851675}"
0.35000000000000014-3,"{'C': 4.5577033492822965, 'gamma': 0.2564306220095694}"
0.35000000000000014-4,"{'C': 3.8416161616161624, 'gamma': 0.04619138755980862}"
0.36000000000000015-0,"{'C': 0.6802551834130781, 'gamma': 0.030220095693779907}"
0.36000000000000015-1,"{'C': 4.336565656565657, 'gamma': 0.005392344497607656}"
0.36000000000000015-2,"{'C': 0.6244444444444445, 'gamma': 0.022234449760765548}"
0.36000000000000015-3,"{'C': 2.5052525252525255, 'gamma': 0.012086124401913877}"
0.36000000000000015-4,"{'C': 3.332961190855928, 'gamma': 0.11094736842105263}"
0.37000000000000016-0,"{'C': 3.792121212121213, 'gamma': 0.07058373205741628}"
0.37000000000000016-1,"{'C': 1.1193939393939396, 'gamma': 0.022234449760765548}"
0.37000000000000016-2,"{'C': 0.1, 'gamma': 0.5688133971291867}"
0.37000000000000016-3,"{'C': 4.633535353535354, 'gamma': 0.050401913875598094}"
0.37000000000000016-4,"{'C': 2.158787878787879, 'gamma': 0.14332535885167463}"
0.38000000000000017-0,"{'C': 4.815704412546517, 'gamma': 0.050401913875598094}"
0.38000000000000017-1,"{'C': 3.2318660287081347, 'gamma': 0.005751196172248804}"
0.38000000000000017-2,"{'C': 0.13791600212652846, 'gamma': 0.8181818181818182}"
0.38000000000000017-3,"{'C': 4.08909090909091, 'gamma': 0.06426794258373206}"
0.38000000000000017-4,"{'C': 1.0204040404040406, 'gamma': 0.3737464114832536}"
0.3900000000000002-0,"{'C': 4.701977671451356, 'gamma': 0.05584688995215311}"
0.3900000000000002-1,"{'C': 0.7234343434343434, 'gamma': 0.02811483253588517}"
0.3900000000000002-2,"{'C': 0.2948219032429559, 'gamma': 0.2778468899521531}"
0.3900000000000002-3,"{'C': 4.6830303030303035, 'gamma': 0.08067464114832537}"
0.3900000000000002-4,"{'C': 1.4416267942583736, 'gamma': 0.24967942583732058}"
0.4000000000000002-0,"{'C': 1.168888888888889, 'gamma': 0.28082296650717703}"
0.4000000000000002-1,"{'C': 2.345167464114833, 'gamma': 0.030220095693779907}"
0.4000000000000002-2,"{'C': 0.133705475810739, 'gamma': 0.6671818181818182}"
0.4000000000000002-3,"{'C': 3.9406060606060613, 'gamma': 0.040311004784689006}"
0.4000000000000002-4,"{'C': 3.598351940457204, 'gamma': 0.11893301435406699}"
0.4100000000000002-0,"{'C': 0.8782349813928761, 'gamma': 0.3615502392344498}"
0.4100000000000002-1,"{'C': 2.9864965443912816, 'gamma': 0.02012918660287081}"
0.4100000000000002-2,"{'C': 0.133705475810739, 'gamma': 0.7781818181818182}"
0.4100000000000002-3,"{'C': 4.336565656565657, 'gamma': 0.041980861244019146}"
0.4100000000000002-4,"{'C': 3.6931313131313135, 'gamma': 0.072688995215311}"
0.4200000000000002-0,"{'C': 4.138585858585859, 'gamma': 0.07058373205741628}"
0.4200000000000002-1,"{'C': 3.038096757044126, 'gamma': 0.026444976076555018}"
0.4200000000000002-2,"{'C': 0.13581073896863374, 'gamma': 0.7407942583732058}"
0.4200000000000002-3,"{'C': 4.584040404040405, 'gamma': 0.030220095693779907}"
0.4200000000000002-4,"{'C': 4.534545454545455, 'gamma': 0.06259808612440192}"
0.4300000000000002-0,"{'C': 2.464178628389155, 'gamma': 0.09875119617224881}"
0.4300000000000002-1,"{'C': 2.7527272727272734, 'gamma': 0.007497607655502392}"
